"title","tag","serving","ingredients","rating","time","instructions","link"
"Triple-Sesame Tea Cakes","Butter Cookie,Sesame Oil,Sesame Seed,Tahini,Dessert","Yield: 2 dozen cookies","¾
cup/185 grams unsalted butter
¾
cup/150 grams granulated sugar
½
cup/120 grams tahini or sesame paste
1
teaspoon toasted sesame oil
2
cups/256 grams all-purpose flour
1
teaspoon baking powder

Pinch of fine salt

Sesame seeds, for coating","230 user ratings","30 minutes","Step 1
Set the oven to 350 degrees. Add butter, sugar, tahini and sesame oil in the bowl of a stand mixer fitted with the paddle attachment (or with hand-held beaters and a mixing bowl). Beat well at medium speed until fluffy, about 5 minutes.
Step 2
In a medium bowl, stir together flour, baking powder and salt. With mixer running, slowly add flour mixture to the butter mixture and mix at low speed until well combined.
Step 3
Pour sesame seeds into a small bowl. Using your hands, pull out a walnut-size piece of dough, then roll it into a ball. Press into the sesame seeds, then place 2 inches apart on a parchment lined baking sheet. Repeat with the rest of the dough.
Step 4
Bake until golden but not too dark, about 20 minutes. Cool before transferring to a platter or cookie tin.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023792-triple-sesame-tea-cakes"
"Locro de Gallina (Chicken Soup With Squash, Green Plantains and Yuca)","South American,Butternut Squash,Chicken Soup,Garlic,Ground Turmeric,Hot Paprika,Plantain,Rice,Whole Chicken,Yuca,Dinner,Main Course","Yield: 6 to 8 servings","1
whole (4-pound) chicken (back and neck reserved, if available)
2
tablespoons neutral oil
1
teaspoon ground turmeric
1
teaspoon ground hot paprika
½
teaspoon annatto seeds (optional)
1
medium yellow onion, finely diced
8
garlic cloves, peeled
1
fresh or dried bay leaf

Kosher salt and freshly cracked black pepper
⅓
cup white rice, rinsed
1
medium yuca (about 1 ½ pounds)
1
medium butternut squash (1 ½ to 2 ½ pounds)
2
green (unripe) plantains (about 6 ounces each)
1
tablespoon dried oregano
6
eggs (optional)
⅓
cup roughly chopped parsley leaves and tender stems","96 user ratings","1¾ hours","Step 1
Cut the chicken into 10 parts: Place the chicken on a cutting board, breast side up. With a sharp knife, remove the wings and legs at the joint. Split each leg at the joint into the thigh and drumstick; set aside. Hold the whole chicken with the largest cavity pointing up and locate the ribcage running along the side. Firmly cut down the opening to separate the breast from the back. Lay the breast skin side down and cut the breast in half down the middle lengthwise, then again in half crosswise to yield 4 bone-in pieces of breast; set aside.
Step 2
In a large pot (at least 6 quarts) over medium-low heat, add the neutral oil, turmeric, paprika and annatto seeds (if using). Cook until oil is stained red and spices are fragrant, about 2 minutes. Add the onion, garlic and bay leaf, and cook, stirring occasionally, until softened, 5 to 7 minutes.
Step 3
Add the chicken pieces, including the back and neck, toss to coat, and season with 4 teaspoons kosher salt. Add the rice and 12 cups of water. Turn the heat up to medium-high and bring to a gentle simmer. Once simmering, turn the heat down to medium and gently simmer for 1 hour, skimming the foam from the top as needed.
Step 4
While the broth simmers, prepare the yuca: Fill a medium pot with water. Peel yuca, then cut crosswise into 3-inch segments. Position the yuca upright on one flat side, then cut in half. Place the yuca in the medium pot. Season with salt and bring to a simmer over medium-high heat. Cook until yuca is tender, about 45 minutes. Drain the yuca, pull off any tough strings running down the middle, and set aside until soup is ready.
Step 5
Meanwhile, trim the top and bottom of the squash, then remove the skin using a peeler. Place the squash cut side down for stability, then cut in half lengthwise. Using a spoon, scoop all of the seeds out and store in the fridge for another use. Cut the squash crosswise into 1- to 1 ½-inch wedges. (There is no need to be overly precise here, the squash will break down into smaller pieces as it cooks.)
Step 6
Once the yuca has cooked, trim the tops and bottoms of the green plantains; cut each in half crosswise, then quarter each piece lengthwise. Pry the skins off; set plantains aside.
Step 7
When the broth is ready, remove and discard the chicken back and neck. Add the squash and green plantains and simmer until tender, 25 to 30 minutes. Add cooked yuca to the pot. If it seems like soup is too dry, add water as needed and bring back to a simmer. Stir in the oregano, then season to taste with salt and pepper.
Step 8
If using eggs, crack the eggs directly into the soup, making sure the eggs don’t overlap, and cover with a lid. Cook until egg whites are fully set, about 3 minutes. Finish soup with parsley and serve immediately.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023816-locro-de-gallina-chicken-soup-with-squash-green-plantains-and-yuca"
"Shrimp and Grits","Southern,Seafood,Andouille Sausage,Grit,Milk,Porridge,Shrimp,Soul Food,Dinner,Main Course","Yield: 4 servings","For the Grits
2
cups whole or reduced-fat milk (see Tip)
¼
cup unsalted butter, cut into 1-inch pieces

Kosher salt (such as Diamond Crystal)
1
cup stone-ground grits
½
teaspoon ground white or black pepper
1
cup shredded extra-sharp or sharp Cheddar (optional)
For the Shrimp
1½
pounds large shrimp, peeled and deveined
2
teaspoons Creole seasoning (see Tip)
1
tablespoon extra-virgin olive oil
8
ounces Andouille sausage, diced
1
small yellow onion, diced
1
green bell pepper, diced
3
garlic cloves, minced
1
(14.5-ounce) can stewed tomatoes
1
cup low-sodium chicken stock
⅓
cup sour cream

Salt and black pepper

Hot sauce, for serving
2
tablespoons thinly sliced scallions","191 user ratings","30 minutes to 1½ hours, depending on your grits","Step 1
Prepare the grits: Bring 2 cups water, the milk, butter and ½ teaspoon salt to a boil in a medium saucepan over high heat. Once the mixture is boiling, whisk in the grits in a slow and steady stream. Reduce the heat to low so that the grits are simmering, with small bubbles just breaking the surface.
Step 2
Cook the grits over low heat, stirring occasionally, until thickened and creamy, and the grits have popped open and smell like popcorn, at least 20 minutes, or over 1 hour, depending on the variety and coarseness of the grits. When stirring, be sure to scrape the sides and bottom of the pot to prevent the grits from sticking and burning. If the grits thicken before they are completely cooked, add more water, a couple tablespoons at a time, and continue cooking until done.
Step 3
While the grits are cooking, prepare the shrimp: Pat the shrimp dry, then toss them in a medium bowl with the Creole seasoning; set aside.
Step 4
Add the olive oil to a large skillet over medium-high heat. Add the diced sausage and cook, stirring frequently, until the fat has rendered and the sausage is crispy along the edges, 3 to 5 minutes. Transfer to a plate and set aside. Working in batches, add the shrimp and cook about 1 ½ minutes each side, until cooked through. Transfer the shrimp to the plate with the sausage.
Step 5
Add the diced onion and bell pepper to the skillet, and cook, stirring frequently, until softened, 5 to 7 minutes. Add the garlic and cook, stirring, for an additional minute.
Step 6
Add the stewed tomatoes and stock, and increase the heat to high. Once the liquid is boiling, reduce the heat to medium and simmer until most of the liquid has evaporated, 5 to 10 minutes.
Step 7
Add shrimp and sausage and cook until hot, about 3 minutes. Turn off the heat and swirl in the sour cream. Taste to adjust seasoning, adding salt or pepper as needed.
Step 8
When the grits are done, remove from the heat and stir in the pepper and cheese, if using. Taste to adjust seasoning, adding up to an additional ½ teaspoon more salt if desired. Serve immediately, topped with the hot shrimp mixture. Finish with a few dashes of hot sauce and a sprinkling of scallions.
For a more savory profile, prepare the grits in 4 cups of low-sodium chicken stock instead of water and milk.
If you don’t have Creole seasoning, you can combine 1¼ teaspoons smoked paprika, ¾ teaspoon kosher salt (such as Diamond Crystal) and ¼ teaspoon ground cayenne.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023771-shrimp-and-grits"
"Stone-Ground Grits","Southern,Grit,Milk,Porridge,Soul Food,Breakfast,Dinner,Lunch,Side Dish,Vegetarian","Yield: 4 servings","2
cups whole or reduced-fat milk (see Tip)
¼
cup unsalted butter, cut into 1-inch pieces

Kosher salt (such as Diamond Crystal)
1
cup stone-ground grits
½
teaspoon ground white or black pepper
1
cup shredded extra-sharp or sharp Cheddar (optional)","31 user ratings","About 30 minutes to 1 hour, depending on your grits ","Step 1
Bring 2 cups water, the milk, butter and ½ teaspoon salt to a boil in a medium saucepan over high heat. Once the mixture is boiling, whisk in the grits in a slow and steady stream. Reduce the heat to low so that the grits are simmering, with small bubbles just breaking the surface.
Step 2
Cook over low heat, stirring occasionally, until thickened and creamy, and the grits have popped open and smell like popcorn, at least 20 minutes, or over 1 hour, depending on the variety and coarseness of the grits. When stirring, be sure to scrape the sides and bottom of the pot to prevent the grits from sticking and burning. If the grits thicken before they are completely cooked, add more water, a couple tablespoons at a time, and continue cooking until done.
Step 3
Remove the creamy grits from the heat and stir in the pepper and cheese, if using. Taste to adjust seasoning, adding more salt, if desired. Serve immediately.
You can substitute the milk for water and omit the butter and cheese to make these dairy-free. You can also cook the grits in chicken or vegetable stock for a more savory profile.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023770-stone-ground-grits"
"Carrot-Leek Soup With Miso","Carrot,Leek,Lime,Miso,Soup,Dinner,Easy,Lunch,Weeknight,Appetizer,Main Course,Vegetarian","Yield: 4 servings","2
tablespoons unsalted butter
4
cups peeled, cubed carrots (from about 6 medium carrots)
2
medium leeks, white part only, chopped

Salt and black pepper
8
cups water or vegetable broth
2
tablespoons yellow or white miso
1
small lime

Thinly sliced chives, for garnish (optional)","986 user ratings","30 minutes","Step 1
Melt butter in a pot over medium heat. When the butter starts to sizzle, add carrots and leeks. Season generously with salt and pepper, and stir to coat well. Sauté for a minute or 2, then add water (or broth, if using). Bring to a boil over high heat, then reduce to a simmer. As soup simmers, taste and add salt as needed. Cook until carrots are soft, about 15 minutes.
Step 2
Once the soup is cooled, reserve 2 cups liquid, then purée the remaining contents of the pot in a blender. (Alternatively, use an immersion blender in the pot.) Use reserved liquid to adjust the purée’s thickness, adding just enough so the consistency is that of a thin milkshake.
Step 3
To serve, heat soup and whisk in miso. Divide among 4 bowls. Grate a little lime zest over each bowl. Quarter the lime and add a good squeeze of lime juice into each bowl. Scatter with chives, if using.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023790-carrot-leek-soup-with-miso"
"Baked Fish With Mushrooms and Ginger","Seafood,Fish Fillet,Ginger,Shiitake,Soy Sauce,White Fish,Dinner,Easy,Quick,Weeknight,Main Course","Yield: 4 servings","4
firm, white-fleshed fish fillets, such as halibut, bass or grouper (about 1½ pounds)

Salt and black pepper
2
tablespoons neutral oil, such as grapeseed
1
pound shiitake mushrooms, stems removed, caps cut in thin slices
2
tablespoons soy sauce
1
teaspoon grated ginger

Thinly slivered scallions, for garnish

A few cilantro sprigs, for garnish","459 user ratings","30 minutes","Step 1
Heat the oven to 375 degrees. Lay the fillets in a baking dish just large enough to hold them. Season on both sides with salt and pepper.
Step 2
Set a large skillet over medium-high heat and add oil. When oil looks wavy, add mushrooms and sauté until they take on a little color, about 5 minutes. Turn off heat. Add the soy sauce and ginger to the mushrooms, and stir well. Spoon mushrooms evenly over fish fillets.
Step 3
Bake, uncovered, until the fillets flake easily when probed with a fork, about 20 to 25 minutes. Transfer fish to individual dishes or a serving platter. Sprinkle with scallions and cilantro sprigs. Be sure to spoon any gingery pan juices over each serving.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023791-baked-fish-with-mushrooms-and-ginger"
"Crispy Tofu and Broccoli With Ginger-Garlic Teriyaki Sauce","Beans,Broccoli,Cornstarch,Extra Firm Tofu,Fresh Ginger,Garlic,Mirin,Sake,Soy Sauce,Sugar,Tamari,Dinner,Quick,Weeknight,Main Course,Vegan","Yield: 4 servings","For the Tofu
2
(14-ounce) package extra firm tofu, drained

Neutral oil
¾
cup cornstarch

Kosher salt (such Diamond Crystal) and black pepper
1
pound broccoli, cut into small 1-inch florets, stems reserved for another use

Chopped cilantro leaves, for topping (optional)

Toasted white sesame seeds, for topping (optional)

Cooked rice, for serving
For the Teriyaki Sauce
½
cup soy sauce or tamari
½
cup mirin
⅓
cup sake
¼
cup granulated sugar

1-inch piece ginger, peeled and grated
1
garlic clove, peeled and grated","1379 user ratings","45 minutes","Step 1
Arrange racks in the middle and bottom of the oven, and heat the oven to 425 degrees. You will need 2 sheet pans. Line one with parchment paper.
Step 2
Prepare the tofu: Cut each block of tofu crosswise into ½-inch slices and pat them dry with a kitchen towel.
Step 3
In a large baking dish or rimmed plate, drizzle 3 to 4 tablespoons of oil. In another large baking dish or rimmed plate, scatter the cornstarch, season it with 1 teaspoon of salt and a few pinches of black pepper, and toss to combine.
Step 4
Place each slice of tofu in the oil and coat both sides, then dip the tofu into the cornstarch and lightly coat both sides. Place the coated tofu straight onto the lined sheet pan. Continue until all the tofu has been coated. All of the tofu should fit on one sheet pan.
Step 5
Place the tofu onto the middle rack in the oven and bake for 30 to 35 minutes, flipping halfway through cooking, until lightly golden and crisp to the touch.
Step 6
On the second sheet pan, lay out the broccoli and drizzle with oil. Season with salt and black pepper. Place on the bottom rack of the oven and roast for 20 to 22 minutes, until tender and golden in parts.
Step 7
Meanwhile, make the teriyaki sauce by combining the soy sauce, mirin, sake, sugar, ginger and garlic in a medium saucepan. Bring to a boil (this should take 2 to 3 minutes), stirring to dissolve the sugar. Once it boils, reduce the heat to medium-low and simmer, stirring occasionally, until there is a layer of light brown foam on top, 12 to 15 minutes. Remove from the heat and let cool for 5 to 10 minutes. It will continue to thicken as it cools.
Step 8
To serve, top the rice with the tofu and broccoli and drizzle with the teriyaki sauce. If using, finish with cilantro leaves and sesame seeds.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023817-crispy-tofu-and-broccoli-with-ginger-garlic-teriyaki-sauce"
"Miso-Butter Mushrooms With Silky Eggs","Egg,Egg Dish,Garlic,Miso,Mushroom,Sesame Seed,Unsalted Butter,Breakfast,Dinner,Easy,Lunch,Quick,Weeknight,Main Course,Vegetarian","Yield: 4 servings","For the Mushrooms
2
tablespoons extra-virgin olive oil
24
ounces small cremini or button mushrooms, brushed clean and trimmed
2
tablespoons white miso paste
2
tablespoons unsalted butter, softened at room temperature for 10 minutes
2
garlic cloves, grated
1
tablespoon toasted white sesame seeds (optional)
For the Eggs
6
large eggs

Kosher salt and black pepper
1
tablespoon unsalted butter
4 to 8
slices of bread, toasted, for serving (optional)","185 user ratings","30 minutes","Step 1
Prepare the mushrooms: Heat a large (12-inch) nonstick skillet over medium high. Add the olive oil, then throw in all the mushrooms and cook for 10 to 12 minutes, stirring or shaking the pan every few minutes, until the mushrooms are golden.
Step 2
While the mushrooms are cooking, place the miso paste, butter and garlic into a small bowl and, using the back of a fork, mash everything together.
Step 3
When the mushrooms are ready, add the miso butter and toss for about 2 minutes, allowing the butter to melt and the miso to coat all of the mushrooms and become slightly sticky. Add the sesame seeds and toss to distribute evenly. Remove from heat and transfer the mushrooms to a plate.
Step 4
Rinse out the skillet with water and dry it. Place it over medium-high heat.
Step 5
Prepare the eggs: Break the eggs into a medium bowl and season with 1 teaspoon of salt and a few turns of black pepper. Whisk well until the whites and yolk are completely combined.
Step 6
Cook the eggs in two batches: To the hot pan, add half of the butter and allow it to melt, swirling it around the pan. Pour in roughly half the eggs and cook undisturbed for 10 to 15 seconds to allow the bottom to set then, using a flexible spatula, push the eggs around the perimeter of the pan in a circular motion, allowing the runnier parts of the egg to cook. Continue to push the eggs in a circular motion for 5 to 10 seconds, just until the center is slightly wet looking and the egg looks rippled. The whole process only takes about 20 to 30 seconds. Remove from the pan and continue with the remaining egg.
Step 7
Serve the eggs with a mound of miso butter mushrooms, with toast on the side, if you like.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023815-miso-butter-mushrooms-with-silky-eggs"
"Roasted Sweet Potatoes","Vegetables,Sweet Potato,Dinner,Easy,Weeknight,Side Dish,Fall,Winter,Vegetarian","Yield: 4 servings","4
small or medium sweet potatoes (8 to 10 ounces each), scrubbed then halved lengthwise
2
tablespoons neutral oil (such as canola or grapeseed), plus more as needed

Salt","475 user ratings","50 minutes","Step 1
Line a sheet pan with parchment or foil. On the sheet pan, toss the sweet potatoes with oil and a generous pinch of salt. Arrange cut-sides down, place on the middle rack of the oven, and heat the oven to 425 degrees.
Step 2
Roast, without flipping, until the cut sides are sticky and a knife inserted slides through easily, 30 to 45 minutes. Caramelization on the cut sides will vary depending on your oven and type of sweet potatoes: To brown further, warm a drizzle of oil in a skillet over medium heat; add the potatoes cut-sides down and sear until as browned as you’d like.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023813-roasted-sweet-potatoes"
"Norinj Pilau (Rice With Candied Orange Peel, Saffron and Lamb)","Meat,Project,Afghan,Basmati Rice,Cardamom,Lamb Shank,Orange,Pistachio,Saffron,Sugar,Dinner,Main Course","Yield: 8 to 10 servings","4
cups long-grain basmati rice, preferably aged
1
tablespoon olive oil
3
pounds bone-in lamb shanks, cut into 1½-inch pieces (see Tip)

Salt
1
large onion, diced
3
large or 5 small Seville or other sour oranges
¾
cup granulated sugar
¼
gram saffron, ground (⅛ teaspoon)
1½
teaspoons ground cardamom
½
cup shelled pistachios, toasted and chopped","81 user ratings","4½ hours","Step 1
Soak the rice: In a large bowl, wash the rice, massaging gently to release the starch without breaking the grains. Drain and repeat 2 times, then soak the rice in enough water to cover (to allow for the grains to expand) for around 2 hours.
Step 2
Meanwhile, cook the lamb: Heat the oil in a large, deep skillet over medium-high. Season the lamb generously with salt and add to the hot oil. Cook, turning occasionally, until browned, about 10 minutes. Move the lamb to one side of the pan and add the onion to the other side. Season with salt and cook, stirring occasionally, until lightly browned, about 5 minutes. Stir to incorporate the lamb, scraping up any browned bits. Add enough water to come halfway up the lamb pieces (about 1 cup), bring to a boil, then cover. Simmer over low heat until tender, 1 to 1½ hours, turning the pieces once or twice and adding 1 to 2 tablespoons water if the pot threatens to dry out.
Step 3
While the lamb simmers, prepare the orange peels: Thoroughly wash and dry the oranges, then peel them with a vegetable peeler, taking as little of the white pith as possible. Finely slice the peels into very thin strips. You should have 1 cup.
Step 4
Put the strips in a pot with enough water to cover and bring to a boil over high heat. Let boil for 15 minutes. Drain the water, retaining the peels, then refill with water. Repeat the boiling process two more times. After being boiled three times, the peels will have lost most of their bitterness.
Step 5
After the third boil, drain the water and add the sugar, saffron, ½ teaspoon cardamom and ¼ cup water to the pot. Cook over medium heat until the sugar has formed a syrup but before it begins to caramelize, about 10 minutes. Transfer the orange peels to a small plate or bowl, reserving the syrup.
Step 6
Bring an 8-quart, heavy-bottomed pot or Dutch oven of water to a boil. Add the soaked rice to the boiling water and cook, uncovered (the way you would cook pasta), until the grains have slightly softened, 7 to 10 minutes. Drain the rice in a colander, then reserve 1 cup rice and add the remaining back to the original pot.
Step 7
Add 2 teaspoons salt and the remaining 1 teaspoon cardamom to the pot with the rice and gently stir to combine. Add the lamb mixture (including any liquid) and stir to combine. Mound the rice mixture in the middle of the pot away from the edges and poke holes in the rice with the handle of a wooden spoon for steam to escape. Lay a clean cloth or paper towel over the top of the pot, then put the lid on to hold the cloth in place. Cook on the lowest heat setting for 20 to 30 minutes. When the rice is done, the grains will be tender with a little chewiness at the center.
Step 8
While the rice and lamb are cooking, take the reserved cup of cooked rice and add to the smaller pot with ¼ cup of the orange syrup. Gently combine, then cover with a lid and bring to a simmer over medium heat. Once simmering, turn the heat to low and cook until the liquid is fully absorbed and the rice is cooked through, 15 to 25 minutes.
Step 9
Scoop the rice-and-lamb mixture onto a large platter and shape it into a low mound. Take the rice cooked in orange syrup and spread it generously over the top of the mound and down the sides. Spread the candied orange peel over the rice and adorn with the toasted pistachios.
Some markets sell lamb cut into chunks with its bones and you can use that here, but you also can ask the butcher to cut whole shanks into pieces.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023772-norinj-pilau-rice-with-candied-orange-peel-saffron-and-lamb"
"Chile-Oil Fried Eggs With Greens and Yogurt","American,Cinnamon Stick,Egg,Egg Dish,Ginger,Greek Yogurt,Kale,Red Pepper Flake,Sesame Seed,Breakfast,Brunch,Lunch,Main Course,Vegetarian","Yield: 4 servings","For the Chile Oil
3
tablespoons red-pepper flakes
1
small cinnamon stick
1
whole star anise
¾
teaspoon green cardamom pods (about 15 pods), optional
½
teaspoon whole fennel seeds
¼
teaspoon whole black peppercorns
1
cup neutral oil, such as canola or safflower
1
garlic clove, peeled and smashed
1
(¼-inch) piece fresh ginger, thinly sliced (optional)
For the Seed Mix
2
tablespoons black or white sesame seeds (or a mix)
2
tablespoons pepitas or sunflower seeds (or a mix)
2
tablespoons whole roasted, salted peanuts
1½
teaspoons garlic flakes, chopped dried garlic chips or onion flakes
For the Sautéed Kale
2
tablespoons neutral oil, such as canola, plus more as needed
1
large bunch curly kale (about ½ pound), stems removed and leaves torn into bite-size pieces

Kosher salt
1
tablespoon apple cider vinegar, champagne vinegar or white vinegar
½
tablespoon toasted red-pepper flakes (from the bottom of the chile oil)
For the Eggs

Neutral oil, such as canola
4 to 8
eggs
For Assembly
1
cup plain Greek yogurt, at room temperature

Flaky sea salt","445 user ratings","30 minutes, plus cooling","Step 1
Make the chile oil (or skip to Step 4 if using store-bought chile oil): Add red-pepper flakes to a heatproof container that can balance a fine-mesh sieve and comfortably hold at least 1 cup oil. (A 12- or 16-ounce Mason jar works well.) Set aside. In a medium saucepan over medium heat, toast cinnamon stick, star anise, cardamom (if using), fennel seeds and peppercorns, gently shaking the pan, until fragrant, 2 to 3 minutes.
Step 2
Add oil, garlic and ginger (if using), reduce the heat to low and allow the oil to come to a gentle simmer. Cook until the garlic is deeply golden brown and the ginger is tender, about 20 minutes. (The longer and more gently it cooks, the more flavorful the oil will be.)
Step 3
Carefully pour hot oil through sieve directly onto the red-pepper flakes, which will sizzle and fry in the hot oil. Discard strained spices. (You should have a little more than 1 cup oil.) Allow mixture to cool at least 1 hour or, for the best flavor, make it the night before.
Step 4
As chile oil simmers, prepare the seed mix: Heat oven to 425 degrees. On a rimmed sheet pan, lay out sesame seeds and pepitas in a single layer, transfer to the oven and toast until golden and fragrant, about 6 minutes. Let cool slightly, then mix in peanuts and garlic flakes. Set aside.
Step 5
Prepare the sautéed kale: In a large skillet over medium heat, warm oil until it shimmers. Add kale to the skillet, a couple of handfuls at a time, stirring to combine and adding more kale to the skillet as it wilts and space permits. (Kale will release liquid, but if you think it needs more oil, add it to the pan.) When the last batch has been added, season generously with salt. Add vinegar and about ½ tablespoon red-pepper flakes scooped from the chile oil, and stir to incorporate. You want some wilted bits and some crunchier drier bits. Set over low heat as you fry your eggs.
Step 6
Prepare the eggs: In another large nonstick skillet over medium-high, heat 1 tablespoon neutral oil. Working in batches, cook 1 to 2 eggs per person, adding oil as needed, until the yolk is a desired consistency, 2 to 3 minutes for sunny-side up.
Step 7
Plate the dish: Dollop about ¼ cup yogurt onto the center of each plate, spread it in a circle, leaving space around the edge of the plate for the seeded oil and a divot in the middle for the greens. Spoon 3 to 4 tablespoons chile oil around the edge of the yogurt, and sprinkle seed mix over the oil. Divide warm greens on top of yogurt, and top with eggs. Sprinkle with flaky sea salt and serve immediately.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1021034-chile-oil-fried-eggs-with-greens-and-yogurt"
"Roasted Broccoli Rabe and White Beans With Burrata","Bean,Broccoli Rabe,Burratum,Extra Virgin Olive Oil,Smoked Paprika,Vegetable,Dinner,Easy,Lunch,Appetizer,Main Course,Side Dish,Vegetarian","Yield: 4 servings","1
pound burrata
1
bunch broccoli rabe (about 1 pound), tough ends removed, halved crosswise
¼
cup extra-virgin olive oil, plus more for serving

Salt and black pepper
1
(15-ounce) can white beans, rinsed and patted very dry
1
teaspoon smoked paprika
2
oranges","124 user ratings","30 minutes","Step 1
Take the burrata out of the fridge to let it warm to room temperature. Heat the oven to 400 degrees and, if desired, line a sheet pan with parchment or foil for easier cleanup. On the sheet pan, toss the broccoli rabe with 2 tablespoons olive oil and salt until coated. Spread it out (it will be crowded).
Step 2
In a medium bowl, stir together the white beans, 1 tablespoon olive oil, the smoked paprika, a pinch of salt and lots of black pepper until coated. Spoon the beans over the broccoli rabe; set aside the bowl (no need to rinse). Roast until the broccoli rabe is tender and crisp in spots, 15 to 20 minutes. Let cool slightly.
Step 3
Meanwhile, cut off the top and bottom of the oranges and set it on one of the flat, cut sides. Follow the curve of the fruit to cut away the peel and pith. Squeeze the peels into the reserved bowl to get out any juice. Cut the fruit in half from top to bottom, then slice into ¼-inch-thick half-moons and pluck out the seeds. If your pieces are especially large, halve them again. Transfer the fruit and any juice on the cutting board to the bowl. Drizzle with the remaining 1 tablespoon olive oil and a pinch of salt and stir to combine.
Step 4
To eat, transfer the broccoli, beans and burrata to a platter or plates, then top with the orange slices and a drizzle of the juices in the bowl. Season with more salt, pepper and olive oil as you like.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023789-roasted-broccoli-rabe-and-white-beans-with-burrata"
"Pan-Seared Fish With Citrus Pesto","Sauces And Gravies,Seafood,Almond,Basil,Caper,Citrus,Extra Virgin Olive Oil,Fish Fillet,Food Processor,Mint,Pistachio,Dinner,Quick,Main Course,Dairy Free","Yield: 4 servings","For the Pesto
½
cup toasted pistachios or slivered almonds
2
teaspoons drained and rinsed capers

Kosher salt (such as Diamond Crystal)
2
cups mint or basil leaves (or a combination)
1
tablespoon lemon, tangerine or grapefruit zest plus 3 tablespoons juice
⅓
cup extra-virgin olive oil, plus more as needed
For the Fish
4
(6-ounce) fish fillets, such as arctic char, striped bass or salmon, skin on or off

Salt

Extra-virgin olive oil, for greasing","433 user ratings","30 minutes","Step 1
To make the pesto, add the pistachios, capers and 1 teaspoon salt to a food processor and process until coarsely chopped. Add the herbs, citrus juice and a pinch of salt and pulse until the herbs are finely chopped and the nuts are about the size of sesame seeds. Add the olive oil and pulse just until combined. Stir in 1 teaspoon of citrus zest. Taste, then continue to add more zest and salt until the pesto is citrusy and punchy. Thin with 2 to 3 more tablespoons of olive oil until it’s the consistency of a loose paste. Taste, and adjust seasonings as needed. (To use the pesto on pasta, see Tip.)
Step 2
To make the fish, season it all over with salt and oil. Working in batches if necessary, add the fish (skin-side down, if your fillets are skin-on) to a large (12-inch) nonstick skillet, then heat over medium. Cook until the flesh is opaque ¾ of the way up the sides, 6 to 12 minutes, depending on the thickness of the fish. If the fish is buckling, press it down with a spatula so it makes contact with the skillet. Flip and cook until cooked through, 1 to 2 minutes. Transfer to plates, skin-side up if serving skin-on fish, and eat with a spoonful of pesto.
To make pesto pasta, skip the additional 2 to 3 tablespoons oil and toss the thick pesto with cooked pasta and a little pasta cooking water. Leftovers keep for up to 3 days.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023788-pan-seared-fish-with-citrus-pesto"
"Green Enchilada Sauce","Mexican,Chicken Broth,Enchilada,Green Bell Pepper,Jalapeno,Make Ahead,Poblano,Sauce,Spinach,Tomatillo,Easy","Yield: About 3 cups","2½
cups chicken stock
½
pound tomatillos, husked, washed and halved
1
small onion, chopped
2
small green bell peppers, stemmed, seeded and chopped
1
poblano chile, stemmed, seeded and chopped
1 to 2
jalapeños, stemmed, halved and seeded
1
bunch spinach (about 6 ounces)
1
tablespoon vegetable oil
½
teaspoon ground white pepper

Salt","48 user ratings","30 minutes","Step 1
In a medium saucepan, bring the chicken stock to a boil over high. Add the tomatillos, onion, bell peppers, poblano, jalapeño and spinach, stirring in the spinach one handful at a time until wilted. Bring to a boil and cook over high heat for 15 minutes.
Step 2
Transfer to a blender and purée until smooth.
Step 3
Heat the oil in a saucepan over medium-high heat. Add the purée and white pepper; season generously with salt. Cook for 5 minutes. Taste and add more salt, if needed. The sauce will keep, refrigerated, for up to one week.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023769-green-enchilada-sauce"
