"title","tag","serving","ingredients","rating","time","instructions","link"
"Basbaas Cagaar (Green Hot Sauce)","Condiments,Cilantro,Jalapeno,Lemon Juice,Make Ahead,No Cook,Serrano,Somali,Easy,Quick,Vegan,Ramadan","Yield: About 1¼ cups","3
large jalapeños, roughly chopped
1
small serrano chile, roughly chopped
½
cup loosely packed chopped cilantro leaves and stems
3
large garlic cloves, peeled
½
small white onion, roughly chopped
¼
cup distilled white vinegar
1
large lemon, juiced (about ¼ cup)
1¼
teaspoons fine sea salt","29 user ratings","10 minutes","Step 1
In a blender, combine all chiles, cilantro, garlic, onion, vinegar, lemon juice and salt; purée on high until smooth.
Step 2
Serve immediately or store in an airtight container. Basbaas loses its potency as time goes on. It can last up to one week, refrigerated, but is best consumed in a few days, for the highest level of heat.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024049-basbaas-cagaar-green-hot-sauce"
"Rooti Farmaajo (Honeycomb Cheese Bread)","Breads,Active Dry Yeast,Milk,Salted Butter,Somali,Sweetened Condensed Milk,Unsweetened Coconut,Snack,Vegetarian,Ramadan","Yield: 30 rolls","⅔
cup/160 milliliters warm whole milk, plus more for egg wash
2
teaspoons/6 grams active dry yeast
1
teaspoon plus 2 tablespoons cane sugar
2¼
cups/298 grams all-purpose flour, plus more if needed
¼
teaspoon fine sea salt
¼
teaspoon baking powder
¼
teaspoon ground cardamom (optional)
2
large eggs, each cracked into a separate bowl and beaten
4
tablespoons plus 1 teaspoon/62 grams melted salted butter
1
(5.4- or 6-ounce) package of The Laughing Cow Original spreadable cheese wedges, chilled
¼
cup/60 milliliters sweetened condensed milk, plus more to taste
¼
cup/20 grams unsweetened finely shredded coconut flakes","317 user ratings","2 hours","Step 1
In a small bowl, combine milk, yeast and 1 teaspoon sugar. Stir together and set aside for 10 minutes to allow yeast to activate. In a bigger bowl, combine flour, salt, baking powder, cardamom (if using) and remaining 2 tablespoons sugar. Once the yeast mixture is foamy, add to the flour mixture, along with 1 beaten egg and 3 tablespoons of the melted butter. Knead in the bowl until a sticky dough forms, about 5 minutes, adding more flour as needed if the dough is too sticky. Lightly grease dough with 1 teaspoon melted butter. Cover with a clean dish towel and let it rise at room temperature for 1 hour or until doubled in size.
Step 2
Grease a round 9-inch springform pan using the remaining 1 tablespoon butter; heat the oven to 350 degrees. Grab chilled cheese wedges and cut 30 pieces of cheese (about ½ teaspoon each). Once the dough has doubled in size, cut the dough into two equal portions. Take one half of the dough and roll it out into a thick rope. Cut the rope crosswise into 15 equal sections. Take one of the cut pieces of dough, roll it into a ball then flatten it into a disk and place 1 piece of cream cheese in the middle. Pinch the dough closed at the top and roll it into a ball using the palms of your hands. Once it’s round, place it into the greased pan, arranging it with its smoothest side up, and repeat the process with the remaining dough. Make sure the balls of dough are equally spaced out, and allow the dough to rise, covered, for 15 minutes.
Step 3
After the second rise, brush the dough with an egg wash of the remaining egg beaten with a splash of whole milk, then bake for 12 to 15 minutes, or until golden brown.
Step 4
When the rolls have finished baking, take them out of the oven and drizzle condensed milk on top. Finish off with a sprinkle of coconut flakes. Enjoy warm. Rooti farmaajo can last 3 to 4 days in the refrigerator.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024050-rooti-farmaajo-honeycomb-cheese-bread"
"Soor iyo Dalac Bilaash (Grits and Tomato Stew)","Cilantro,Cornmeal,Green Bell Pepper,Plum Tomato,Porridge,Red Onion,Somali,Dinner,Main Course,Vegan,Ramadan","Yield: 3 to 4 servings","For the Soor
1
teaspoon fine sea salt
1
cup/128 grams fine white cornmeal
For the Dalac Bilaash
2
tablespoons olive oil
1
medium red onion, sliced
5
Roma tomatoes, roughly chopped
1
small jalapeño (optional), destemmed and halved
4 to 5
cloves of garlic, peeled
1
handful of cilantro leaves, roughly chopped
2½
teaspoons Vegeta seasoning
½
small green bell pepper, halved and sliced","16 user ratings","45 minutes","Step 1
Make the soor: Into a medium saucepan with a lid, pour 3 cups of cold water and add the salt. Turn your heat to medium-high and whisk in your cornmeal slowly to reduce lumps. Cook, whisking constantly, until the soor thickens, about 8 minutes. Cover the saucepan, reduce heat to medium-low and cook for 25 more minutes, stirring occasionally, until thick. If the soor is sticking to the bottom, stir in ¼ cup of water. Set aside, covered.
Step 2
Prepare the dalac bilaash: While the soor cooks, over medium-high heat, warm up oil in a medium pot or skillet. Once the oil is hot, stir in your onion and cook, stirring occasionally, until translucent, about 5 minutes.
Step 3
Add tomatoes and jalapeño (if using), then cover, occasionally mashing the tomatoes as they cook down, about 10 minutes. Meanwhile, smash the garlic in a mortar and pestle. Add the cilantro to the smashed garlic and pound until it reduces to a chunky paste.
Step 4
Once the tomatoes have broken down completely, add the cilantro paste, Vegeta seasoning and green bell pepper. Stir to combine, cover, and cook over medium until peppers are soft but not mushy, about 15 minutes.
Step 5
Divide the soor among plates and top with dalac bilaash.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024051-soor-iyo-dalac-bilaash-grits-and-tomato-stew"
"Mocha Icebox Cake","Confectioners' Sugar,Espresso Powder,Ground Cinnamon,Heavy Cream,Icebox Cake,Nutmeg,Party,Plan Ahead,Dessert","Yield: One 9-inch loaf cake (6 to 8 servings)","3
cups/700 milliliters heavy cream, chilled
½
cup/50 grams confectioners’ sugar
4
teaspoons instant espresso powder
1
teaspoon ground cinnamon
¼
teaspoon ground nutmeg

Pinch of fine salt
1
(9-ounce) sleeve chocolate wafer cookies

Cocoa powder (optional), to garnish","83 user ratings","25 minutes, plus chilling and freezing","Step 1
Line a 9-by-5-inch inch loaf pan with 2 crossed strips of plastic wrap that hang generously over all 4 sides.
Step 2
Add the heavy cream, confectioners’ sugar, espresso powder, cinnamon, nutmeg and salt to a large bowl. Use an electric mixer to whip the mixture to soft peaks.
Step 3
Scoop about 2 cups of the cream mixture into the loaf pan and smooth into an even layer.
Step 4
Scoop a heaping tablespoon of cream onto one side of each wafer cookie and layer them tightly into the loaf pan from one long side of the pan to the other, creating 3 to 4 rows of about 10 cookies each. (The cookies should be standing upright on their round edges, so when you cut into the finished cake crosswise, you’ll get a nice striped pattern.) You may also have a few extra cookies.
Step 5
Spoon the remaining cream over the top of the cookies, making sure to spread the cream all of the way to the edges of the pans. Tap the pan lightly on the counter to help the cream settle in between the cookies. If you have any cookies remaining, you can place them, flat in one layer, over the top of the cream.
Step 6
Wrap the cake tightly in the overhanging plastic wrap, press gently and refrigerate at least overnight and up to 2 days. Freeze for 1 hour before serving for easier slicing.
Step 7
When you are ready to serve, unwrap the top of the cake and turn it out upside-down onto a serving platter. Remove the plastic wrap and lightly drag a spoon over the cake in a decorative pattern. Dust with cocoa powder, if using. Slice crosswise and serve. Wipe the knife in between cuts for the tidiest slices. If the cake is slightly frozen, let it warm up a bit before serving. You can also scoop it from the pan with a spoon for more casual serving.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023859-mocha-icebox-cake"
"Lemon Cheesecake Tart","Confectioners' Sugar,Cream Cheese,Lemon,Lemon Juice,Lemon Zest,Party,Tart,Dessert,Spring,Winter","Yield: 1 (9-inch) tart","For the Crust
1½
cups/190 grams all-purpose flour
½
cup/50 grams confectioners’ sugar
½
teaspoon fine salt

Finely grated zest of 1 lemon
10
tablespoons/142 grams unsalted butter, cold and cut into cubes, plus more for greasing the pan
1
egg yolk
For the Filling
16
ounces/450 grams cream cheese, softened to room temperature
½
cup/100 grams granulated sugar

Finely grated zest of 2 lemons plus ¼ cup freshly squeezed juice

Pinch fine salt
2
large eggs","117 user ratings","1¼ hours, plus cooling","Step 1
Heat oven to 375 degrees.
Step 2
Make the crust: Combine the flour, confectioners' sugar, salt and lemon zest in the bowl of a food processor fitted with the steel blade; pulse a few times to combine. Scatter the cubed butter on top, then pulse until the butter is almost completely incorporated and the mixture is sandy. Add the egg yolk and pulse until incorporated. The dough should hold together easily. If not, pulse in up to 3 teaspoons of cold water, 1 teaspoon at a time. Alternatively, you can mix the dough in a large bowl, using your fingers or a pastry blender to mix the butter into the flour.
Step 3
Lightly butter a 9-inch tart pan with a removable bottom and press the dough mixture evenly on the bottom and up the sides of the pan using a lightly floured straight-sided measuring cup to help press the dough into the corners of the pan. (If you need to trim extra dough to make it level with the edge of the pan, reserve it to repair any cracks after the shell has baked.)
Step 4
Line the tart shell with a piece of aluminum foil, making sure to tuck it into the corners and over the edges. Set the tart shell on a baking sheet and bake the shell for 25 to 30 minutes or until the dough appears dry and lightly golden. If the dough puffs up while baking, gently press it back into the pan with an offset spatula or similar tool. Turn the oven down to 350 degrees. If necessary, repair any cracks with the remaining raw dough before filling.
Step 5
While the shell cools slightly, make the filling: Add the cream cheese, granulated sugar, lemon zest and salt to a large bowl. Use an electric mixer to whip the cream cheese mixture until smooth and fluffy, about 4 minutes. Add the eggs one at a time, mixing until completely incorporated before adding the next, scraping down the sides of the bowl with a rubber spatula, if needed. Add the lemon juice and mix until smooth. Tap the bowl on the counter a few times then stir a few times with a rubber spatula to release any large air bubbles.
Step 6
Pour the mixture into the warm crust, smooth the top and carefully transfer the pan, still on the baking sheet, into the oven. Bake until just set around the edges and slightly wiggly in the center, 15 to 20 minutes.
Step 7
Let the tart cool to room temperature, then transfer to the refrigerator to cool completely. Remove the outer ring and slice with a warm knife, wiping the knife with a towel in between cuts for the tidiest slices. Serve cold or at room temperature. This keeps well in the fridge, covered for a few days.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023858-lemon-cheesecake-tart"
"Chicago Thin-Crust (Tavern-Style) Pizza With Sausage and Giardiniera","American,Pizza And Calzones,Italian Sausage,Mozzarella,Parmesan,Party,Pecorino Romano,Pizza Dough,Plan Ahead,Project,Dinner,Main Course","Yield: 2 (14-inch) pizzas","For Each Pizza
¾
cup mild or hot giardiniera (see Tips)

Semolina or cornmeal, for dusting
1
stretched, cured Chicago thin-crust (tavern-style) pizza dough skin
¾ to 1
cup pizza sauce for Chicago thin-crust, more or less to taste, or use store-bought pizza sauce
2
ounces finely shredded or powdered Pecorino Romano or Parmesan
8 to 12
ounces full-fat low-moisture mozzarella, shredded, more or less to taste (see Tips)
½
recipe (about 8 ounces) Chicago-style Italian sausage, or use store-bought (raw bulk sausage or raw cased sausage with casings removed)","253 user ratings","35 minutes, plus at least 3½ hours for the dough","Step 1
At least 45 minutes before baking, set a baking steel or stone (larger than 14 inches, see Tips) on an oven rack in the lower-middle position and heat the oven to 500 degrees. Drain excess oil from the giardiniera in a fine-mesh strainer, tossing to get as much off as possible. Discard the oil and set aside the giardiniera.
Step 2
When the oven is heated and you’re ready to bake, dust a pizza peel with semolina or cornmeal. Lift cured pizza skin with the parchment or butcher paper still attached. The top (exposed) side will be drier than the underside. Place the pizza skin on the peel with the drier side facing down (so the papered side faces up). Peel off the parchment paper or butcher paper and discard. Using a fork, poke the crust all over to prevent large bubbles from forming.
Step 3
Spread the sauce evenly over the entire surface of the pizza, all the way to the edges. Sprinkle with half the Romano or Parmesan. Spread the mozzarella evenly over the entire surface, spreading it all the way to the edges. Use your fingertips to dollop marble-size pieces of the raw sausage all over the pizza. Sprinkle with the giardiniera.
Step 4
Give the pizza peel a few shakes to make sure the pizza is still loose (if it sticks at all, using a metal spatula or pizza peel to loosen it), then transfer the pizza to the heated baking steel or stone. Bake until the pizza is as done as you like it. (If you like yours browned and bubbly in the center and lightly charred at the edges, that’ll be about 10 minutes, depending on your oven.) You can use a metal pizza peel to lift the edges of the pizza and peek underneath as it bakes to ensure the bottom is done to your liking.
Step 5
Transfer the pizza to a cutting board and sprinkle immediately with the remaining Romano or Parmesan. Allow to rest for 3 minutes, cut into 1½- to 2-inch squares, and serve immediately. Let the oven reheat for at least 10 minutes before baking subsequent pizzas.
This style of pizza works best with minimal toppings–two to three items max. Sausage and giardiniera is a classic combination in the Chicago area. I like using J.P. Graziano hot giardiniera, which is available by mail order.
Do not use Italian-style (fresh) mozzarella for this pizza. If you cannot find full-fat low-moisture mozzarella, use a combination of widely available part-skim low-moisture mozzarella and shredded Monterey Jack. The cheeses will melt better if you grate them yourself, but pre-shredded can be used in a pinch.
If you do not have a baking stone or steel at least 14 inches square, 12-inch pizzas can also be baked on smaller stones or on the back of a large overturned aluminum sheet tray set on an oven rack while the oven heats. Follow the recipe for 12-inch pizza dough balls as outlined in the Tip for the Chicago thin-crust (tavern-style) pizza dough.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023971-chicago-thin-crust-tavern-style-pizza-with-sausage-and-giardiniera"
"Chicago Thin-Crust (Tavern-Style) Pizza Dough","American,Pizza And Calzones,Bread Flour,Dough,Instant Yeast,Make Ahead,Plan Ahead,Project","Yield: 2 (14-inch) crusts","300
grams bread flour (about 2¼ cups, see Tips)
7
grams sugar (about 1½ teaspoons)
7
grams salt (about 1¼ teaspoons table salt or 1¾ teaspoons kosher salt)
1
gram instant yeast (about ¼ teaspoon)
150
grams cold water (150 milliliters, about ⅔ cup)
30
grams neutral oil, such as light olive oil, vegetable oil or corn oil

Semolina or cornmeal, for dusting","249 user ratings","30 minutes, plus at least 3 hours’ and up to 5 days’ resting","Step 1
Make the dough: Combine the flour, sugar, salt and yeast in the bowl of a stand mixer (see Tips). Whisk together to combine, then add the water and oil. Mix at low speed with the dough hook attachment, stopping occasionally to scrape down the sides of the bowl with a rubber spatula, until the dough comes together in a shaggy ball. Cover the bowl and let the dough rest for 10 minutes. Mix on medium-low speed until the dough is silky and pulls away from the sides of the bowl, about 5 minutes. Transfer the dough to a lightly floured work surface.
Step 2
Divide the dough: Using a bench scraper or knife, cut the dough into two even pieces, about 250 grams each. Using lightly floured hands, shape each piece into a smooth ball, then lightly coat each with oil, using your hands to cover every surface. Transfer each ball to a quart-size zipper-lock bag or other sealable container at least three times its volume. (Quart-size plastic deli containers also work for this.)
Step 3
Ferment the dough: For good results, let the dough rest at room temperature until doubled in volume, about 3 hours. For better results, refrigerate the dough overnight. For best results, refrigerate the dough for at least 3 and up to 5 days.
Step 4
The day before baking, roll the dough: Transfer one dough ball to a work surface generously dusted with semolina or cornmeal. (Refrigerated dough can be rolled straight out of the fridge, though allowing it to rest covered for 1 hour at room temperature will make rolling easier.) Using a rolling pin, roll the dough into a very thin circle 14 inches in diameter, lifting and rotating it occasionally (use a ruler or measuring tape to ensure the right size). Repeat with the second ball. If the dough feels like it keeps bouncing back as you try and stretch it, cover it with an inverted bowl or a clean kitchen towel, let it rest for half an hour, then try rolling again.
Step 5
Cure the dough: Transfer the doughs to a flat surface lined with parchment paper or butcher paper. Allow to rest uncovered at room temperature overnight. The top surface of the dough should end up dry to the touch with a leathery feel. If they puff at all during curing, you can push any bubbles with a fork and push them down to flatten them.
For this recipe, you’ll want an accurate baking scale and enough room to leave your stretched dough out at room temperature for a night. Using a scale to measure your ingredients is strongly advised here — at the very least for the flour. Going without can throw off the hydration level of your dough, and by extension, the success of your dough.
If you want to make 2 (12-inch) pizzas instead, use 225 grams flour, 5 grams sugar, 5 grams salt, 1 gram yeast, 115 grams cold water and 22.5 grams oil. Use only ¾ of the toppings.
The dough can also be made in a food processor or by hand. To make with a food processor, combine all the ingredients and process until the dough forms a ball that rides around the blades. Continue running the food processor for 30 seconds, then transfer the dough to a lightly floured work surface and continue as directed in Step 2.
To make by hand, combine the dry ingredients in a bowl, add the oil and water, and stir with a wooden spoon until a stiff, shaggy dough is formed. Cover the bowl and let the dough rest for 10 minutes. Turn the dough out onto a lightly floured work surface and knead until smooth, 7 to 10 minutes. Proceed as directed in Step 2.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024060-chicago-thin-crust-tavern-style-pizza-dough"
"Chicago-Style Italian Sausage","American,Meat,Black Pepper,Fennel Seed,Make Ahead,Pork Shoulder","Yield: 1 pound","1
tablespoon whole dried fennel seeds
1
pound ground pork shoulder
4
medium garlic cloves, finely minced
7
grams salt (about 2 teaspoons Diamond Crystal kosher salt, 1½ teaspoons Morton’s coarse kosher salt or 1 teaspoon table salt)
2
teaspoons garlic powder
2
teaspoons dried oregano
1
teaspoon dried marjoram
½
teaspoon ground black pepper

Large pinch of red-pepper flakes","39 user ratings","10 minutes","Step 1
Prepare the sausage: Heat the fennel seeds in a dry skillet over medium heat, stirring frequently, until lightly toasted and very aromatic. Transfer to a mortar and pestle or spice grinder and lightly crush.
Step 2
Combine the pork, fresh garlic, salt, garlic powder, oregano, marjoram, black pepper, pepper flakes, and toasted fennel in a large bowl. Knead aggressively with your hands until the mixture turns tacky and leaves a film behind on the bowl, a couple of minutes. (Alternatively, make the sausage in a stand mixer fitted with a paddle attachment. Knead the mixture at low speed until it forms a film on the inside of the bowl as instructed in Step 2.) Transfer to a sealed container and store in the refrigerator for up to 1 week until ready to use. You will have enough for 2 pizzas.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024059-chicago-style-italian-sausage"
"Bolo de Cenoura (Carrot Cake)","Carrot,Carrot Cake,Dutch Processed Cocoa Powder,Food Processor,Sour Cream,Dessert,Birthday","Yield: 12 servings","For the Cake
2
cups/260 grams all-purpose flour
1
tablespoon baking powder
1
teaspoon kosher salt (such as Diamond Crystal)
½
cup/115 milliliters grapeseed oil or other neutral oil, such as safflower or canola, plus more for pan
2
large or 3 medium carrots (about 300 grams), trimmed, scrubbed and roughly chopped
1¼
cups/270 grams granulated sugar
3
eggs, at room temperature
½
cup/112 grams full-fat sour cream
For the Brigadeiro Topping
2
(7.4-ounce/210-gram) cans sweetened condensed coconut milk
5
tablespoons/30 grams Dutch-process cocoa powder
¼
teaspoon kosher salt (such as Diamond Crystal)
2
tablespoons chocolate sprinkles","724 user ratings","1 hour 30 minutes, plus cooling","Step 1
Make the cake: Heat the oven to 350 degrees. In a medium bowl, whisk together the flour, baking powder and salt. Generously brush a 9-inch round cake pan with oil.
Step 2
In a blender or food processor, finely chop the carrots by pulsing about 6 to 10 times until minced. Add the sugar and pulse until just combined, about 30 seconds. Add the oil and eggs all at once. Pulse until the mixture is combined and looks a bit foamy, 30 seconds. (You can also do this step without a blender or food processor: Grate the carrots into a medium bowl using the fine side of a box grater. Add the sugar, eggs and oil, and use a whisk to combine.)
Step 3
Pour the wet mixture into the dry ingredients, and, using a whisk, mix until just combined. Gently mix in the sour cream and pour the mixture into the prepared cake pan. Bake until the sides pull away slightly from the edge of the tin and a toothpick inserted into the center comes out clean, about 45 to 50 minutes.
Step 4
Move the cake to a baking rack set in a sheet pan and let it cool slightly in the pan, about 10 minutes. Invert the cake onto the baking rack and let cool completely.
Step 5
While the cake cools, make the brigadeiro topping: In a small saucepan, combine the sweetened condensed coconut milk, cocoa powder and salt. Stir with a whisk over medium-low heat until the cocoa powder is fully incorporated. Increase heat to medium and simmer, stirring frequently, until the mixture forms large bubbles and thickens, about 12 to 15 minutes. It should fully coat a heatproof rubber spatula and drizzle off in a slow stream. Remove from heat and allow the topping to cool completely, stirring frequently to prevent a skin forming on top, and until the brigadeiro topping streaks when stirred and is thick and fudgy, about 25 to 30 minutes.
Step 6
Spread the cooled topping over the cake, swirling the topping over the center and allowing it to drip over the edge. Let it set slightly, about 10 minutes, then shower a handful of chocolate sprinkles over the top. Cut the cake in wedges to serve.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024026-bolo-de-cenoura-carrot-cake"
"Hilib Sambuus (Fried Beef Dumplings)","Dumplings,Cilantro,Freezer Friendly,Ground Beef,Ground Coriander,Ground Cumin,Somali,Tortilla,Dinner,Appetizer,Main Course,Ramadan","Yield: 20 sambuus","1
tablespoon olive oil
1
medium white onion, diced
4 to 5
garlic cloves, minced
1
pound ground beef
1
handful cilantro leaves, finely chopped
1
tablespoon ground cumin
1
teaspoon ground coriander
1½
teaspoons fine sea salt
½
cup/64 grams all-purpose flour
5
burrito-size (9-inch-wide) tortillas

Canola oil, as needed for frying

Basbaas Cagaar (Green Hot Sauce), for serving (optional)","83 user ratings","1 hour","Step 1
In a medium nonstick skillet, heat the oil over medium-high. Add the onion and cook until soft, stirring occasionally, 6 to 7 minutes. Add the garlic and cook until soft, about 2 minutes. Next, add the beef and brown it, breaking down the bigger clumps of meat as it cooks, about 10 minutes. Off heat, stir in cilantro, cumin, coriander and salt.
Step 2
In a small bowl, make a paste using the flour and ½ cup water. Next, cut each tortilla into 4 quarters, creating 20 triangular wedges. To make the tortilla pieces pliable, warm 6 or 7 pieces at a time in the microwave for about 10 seconds (or in the oven at 350 degrees).
Step 3
On a clean surface, grab one cut tortilla piece and position the round end closest to you. Form a cone shape by taking the tip at the bottom left and folding it up and over to meet the right edge slightly higher than its middle. Using your finger, brush a little flour paste over the top surface of the folded piece. Lift the bottom right tip of the tortilla and bring it up to cover the folded flap, creating a cone shape. Holding the cone in one hand, fill it with 2 tablespoons of beef filling. Tuck the inner flap to cover and seal in the filling, brush flour paste on the top surface covering the filling and then seal the sambuus by folding the top flap down and pressing to seal, creating a triangular shape. Use the flour paste to fill in gaps. Set on a baking sheet and repeat this process until all of the filling has been used.
Step 4
Pour ½ inch canola oil into a large, deep skillet and heat over medium-high. Once the oil is shimmering hot (you can flick in a small amount of the flour paste and see if it sputters), fry 4 to 6 sambuus at a time until golden brown and crispy, about 1 to 2 minutes per side. Transfer sambuus to a paper towel-lined plate to catch excess grease. Serve hot crispy sambuus right away, with hot sauce, if using.
Sambuus are best eaten right after frying, when they’re still hot and crisp. However, if making ahead, you can freeze the uncooked sambuus after assembly, then thaw and fry at your convenience. Frozen sambuus can last several months.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024052-hilib-sambuus-fried-beef-dumplings"
"Chicken Fried Rice","Grains And Rice,Egg,Fresh Ginger,Frozen Pea,Ginger,Ground Chicken,Ground Turkey,Rice,Skillet,Soy Sauce,Dinner,Easy,Lunch,Quick,Weeknight,Main Course,Side Dish","Yield: 4 to 6 servings","1
pound ground chicken or turkey, preferably dark meat
2
tablespoons soy sauce, plus more to taste
4
garlic cloves, finely chopped
1
(3-inch) piece of fresh ginger, peeled and finely chopped
1 to 1½
teaspoons red-pepper flakes, chile sauce or chopped fresh chile (optional)
3
tablespoons neutral oil, plus more as needed
1
bunch scallions, trimmed and thinly sliced, dark green parts separated
4
cups cooked, long-grain white or brown rice, preferably day-old (or 1⅓ cups uncooked rice; see Tip)
½
cup frozen peas (about 2½ ounces; no need to thaw)

Salt
2
large eggs, beaten with a pinch of salt

Any combination of chile sauce, rice or black vinegar, toasted sesame oil, white pepper, cilantro and MSG (optional, for serving)","191 user ratings","20 minutes","Step 1
In a medium bowl, use your hands or two forks to mix together the ground chicken, 1 tablespoon soy sauce, half the garlic, half the ginger, and the red-pepper flakes (if using).
Step 2
Heat your largest nonstick or cast-iron skillet over medium-high until very hot. Add 1 tablespoon of the oil and the ground chicken, then use a wooden spoon or heatproof spatula to quickly press meat into a thin layer (like one giant smash burger). Cook, undisturbed, until meat is browned underneath, 3 to 5 minutes. Break up meat into bite-size pieces and stir until cooked through, 1 to 2 minutes. Turn off the heat, then transfer the chicken to a clean bowl, leaving the juices and fat in the skillet.
Step 3
Add the remaining 2 tablespoons oil, the scallion whites and the remaining ginger and garlic to the skillet. Raise heat to medium-high, scrape up browned bits on the skillet and stir until sizzling and light golden, 1 to 2 minutes. Add the rice, peas, the remaining 1 tablespoon of soy sauce and salt to taste. Stir to coat in the oil and break up clumps of rice. Spread out the rice along the sides and bottom of the skillet. Cook, undisturbed, until the sound shifts from a sizzle to a crackle and the rice is golden at the edges, 3 to 5 minutes. If the rice is burning, add more oil.
Step 4
Pour the eggs in a thin stream over the rice. When you see some of the egg start to set, 15 to 30 seconds, toss the rice constantly to break up and cook the eggs. Add the chicken and toss to warm through, 1 minute. Turn off the heat and stir in the scallion greens. Serve with more soy sauce and other seasonings as you like.
Leftover, cooked rice from the fridge has less moisture, so it will crisp more easily. If you’re starting with uncooked rice, cook it as you would pasta so that the grains are not clumped together: Bring a large pot of salted water to a boil. Add 1⅓ cups rice and cook until just cooked through, 10 to 12 minutes for white rice and 25 to 30 minutes for brown rice. Drain, run under cold water to cool, shake to get rid of any water, then spread out on a baking sheet and refrigerate until Step 4.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023897-chicken-fried-rice"
"One-Pan Crispy Chicken and Chickpeas","Poultry,Cast Iron,Chicken Thigh,Chickpea,Lemon Juice,Skillet,Spinach,Dinner,Easy,Quick,Weeknight,Main Course","Yield: 4 servings","4
bone-in, skin-on chicken thighs (about 1¾ pounds)

Kosher salt and pepper
2
teaspoons olive oil, plus more as needed
2
(15-ounce) cans of chickpeas, rinsed
4
large garlic cloves, thinly sliced
4
(packed) cups or 1 (5-ounce) package baby spinach
1
large lemon, halved

Yogurt and hot sauce (both optional), for serving","128 user ratings","45 minutes","Step 1
Heat oven to 400 degrees with a rack in the center.
Step 2
Pat the chicken dry and season both sides with salt and pepper. Heat 2 teaspoons of olive oil in a large cast-iron skillet over medium-high heat. Put the chicken thighs in the skillet, skin-side down, and cook for 4 to 5 minutes, until light golden brown. Flip and cook for 2 more minutes. Transfer the chicken to a plate.
Step 3
Add the chickpeas and garlic to the skillet and stir to coat in the oil and juices. If the pan seems at all dry, drizzle in a bit of olive oil. Season with salt and pepper.
Step 4
Place the chicken on top of the chickpeas, skin side up, in an even layer and transfer the pan to the oven. Bake for 30 minutes or until the chicken is deeply golden and cooked through.
Step 5
Remove the chicken to a clean plate, put the pan back on the stovetop over medium heat and add the spinach to the chickpeas in the pan, one handful at a time, stirring it until just wilted. Add the chicken back to the pan and squeeze a lemon half over the top; cut the remaining lemon half into 4 wedges. Serve the chicken, chickpeas and spinach with the lemon wedges on the side, and yogurt and hot sauce for serving, if you like.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023862-one-pan-crispy-chicken-and-chickpeas"
"Creamy Meyer Lemon Pasta","Pastas,Dill,Fennel Seed,Garlic,Heavy Cream,Linguine,Meyer Lemon,Spaghetti,Dinner,Easy,Lunch,Quick,Weeknight,Main Course,Side Dish,Spring,Winter,Vegetarian","Yield: 4 to 6 servings","
Salt
1
pound spaghetti or linguine
3
small Meyer lemons (about 8 ounces total), see Tip
3
tablespoons unsalted butter
6
large garlic cloves, sliced thinly
1
teaspoon fennel seeds, coarsely ground
1¼
cups heavy cream
½
cup lightly packed dill leaves and tender stems, very coarsely chopped

Black pepper, for serving","155 user ratings","35","Step 1
Bring a large pot of heavily salted water (about 2 tablespoons kosher salt to about 6 quarts water) to a boil. Add the spaghetti and cook, occasionally stirring, until al dente. Reserve 1 cup of the pasta cooking water, then drain the pasta.
Step 2
Meanwhile, trim the tops and bottoms off two of the Meyer lemons and slice into ¼-inch discs, discard any seeds, then very roughly chop into small pebbly pieces. Cut the remaining lemon into wedges for serving.
Step 3
In a large skillet or Dutch oven, melt the butter over medium-low heat. Add the garlic, season with salt and cook, stirring, until softened, about 2 minutes. Stir in the chopped lemon pieces and ground fennel seeds, season again with salt, and cook, stirring occasionally until very soft, but not mushy 3 to 5 minutes.
Step 4
Pour in the cream, turn up the heat to medium, bring to a simmer, then add the cooked pasta and toss to coat with tongs. Add about ½ cup pasta liquid, toss again and cook, tossing often, until the sauce thickens but still pools a little at the bottom, 3 to 5 minutes. If more sauce is desired, add a little more pasta liquid, toss again and continue cooking until the desired sauciness is reached. Turn off heat, season with salt and stir in dill (reserving some for serving on top)
Step 5
Serve the pasta while hot, sprinkled with reserved dill, freshly ground black pepper and lemon wedges, as desired.
If you cannot find Meyer lemons, regular lemons can work, but be sure to simmer the chopped pieces in salted water for 3 to 5 minutes or until most of the bitterness has gone away.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024022-creamy-meyer-lemon-pasta"
